pdf_file,page_number,block_id,line_id,text,font_size,font_threshold,is_bold,is_italic,font_name,x0,y0,x1,y1,width,height,is_heading,heading_level,auto_confidence,relative_font_size,word_count,char_count,starts_with_number,ends_with_colon,is_all_caps,is_title_case,has_punctuation
Kehe 103.pdf,1,1,0,Human Ecology and Family Sciences – Part I,9.0,11.0,False,False,CopperplateGothic-Light,316.8373107910156,84.21358489990234,530.88427734375,94.31158447265625,214.04696655273438,10.097999572753906,0,0,0.0,0.8181818181818182,8,42,0,0,0,0,0
Kehe 103.pdf,1,2,0,28,11.0,11.0,False,False,CopperplateGothic-Light,60.97560119628906,391.44769287109375,76.81559753417969,403.7897033691406,15.839996337890625,12.342010498046875,0,0,0.0,1.0,1,2,1,0,0,0,0
Kehe 103.pdf,1,3,0,3,50.0,11.0,True,False,TrajanPro-Bold,466.49810791015625,191.0281982421875,496.49810791015625,254.4781951904297,30.0,63.44999694824219,1,1,0.85,4.545454545454546,1,1,1,0,0,0,0
Kehe 103.pdf,1,3,1,"Food, Nutrition,",30.0,11.0,False,False,TrajanPro-Regular,134.8861083984375,167.52001953125,437.55609130859375,205.1400146484375,302.66998291015625,37.6199951171875,1,1,0.85,2.727272727272727,2,16,0,0,0,1,1
Kehe 103.pdf,1,3,2,Health and,30.0,11.0,False,False,TrajanPro-Regular,134.8861083984375,203.52001953125,343.92608642578125,241.1400146484375,209.03997802734375,37.6199951171875,1,1,0.85,2.727272727272727,2,10,0,0,0,0,0
Kehe 103.pdf,1,3,3,Fitness,30.0,11.0,False,False,TrajanPro-Regular,134.8861083984375,239.52001953125,254.97610473632812,277.1400146484375,120.08999633789062,37.6199951171875,1,1,0.85,2.727272727272727,1,7,0,0,0,1,0
Kehe 103.pdf,1,4,0,3.1 Introduction,16.0,11.0,True,False,TrajanPro-Bold,134.8861083984375,537.8818359375,300.2460632324219,558.1858520507812,165.35995483398438,20.30401611328125,1,2,0.85,1.4545454545454546,2,16,1,0,0,1,1
Kehe 103.pdf,1,5,0,The onset of adolescence brings with it many profound changes. The growth,11.0,11.0,False,False,Bookman-Light,134.8861083984375,569.433837890625,534.4501342773438,582.40283203125,399.56402587890625,12.968994140625,0,0,0.0,1.0,12,73,0,0,0,0,1
Kehe 103.pdf,1,5,1,rate speeds up dramatically. This growth spurt occurs due to the activity,11.0,11.0,False,False,Bookman-Light,134.8861083984375,583.433837890625,534.4061279296875,596.40283203125,399.52001953125,12.968994140625,0,0,0.0,1.0,12,73,0,0,0,0,1
Kehe 103.pdf,1,5,2,of hormones that affect every organ of the body and this makes healthy,11.0,11.0,False,False,Bookman-Light,134.8861083984375,597.433837890625,534.3621215820312,610.40283203125,399.47601318359375,12.968994140625,0,0,0.0,1.0,13,70,0,0,0,0,0
Kehe 103.pdf,1,5,3,"eating very important. The nutrient needs rise throughout childhood, peak",11.0,11.0,False,False,Bookman-Light,134.8861083984375,611.433837890625,534.4501342773438,624.40283203125,399.56402587890625,12.968994140625,0,0,0.0,1.0,10,73,0,0,0,0,1
Kehe 103.pdf,1,5,4,in adolescence and then level off or even diminish as the teenager becomes,11.0,11.0,False,False,Bookman-Light,134.8861083984375,625.433837890625,534.4170532226562,638.40283203125,399.53094482421875,12.968994140625,0,0,0.0,1.0,13,74,0,0,0,0,0
